Timestamp,City,Road_Name,Direction,Lanes,Speed_kmph,Congestion_Level
2024-01-12 06:22,Delhi,Ring Road,Northbound,3,54.7,Low
2024-01-29 20:58,Bangalore,100 Feet Rd,Southbound,4,25.3,Moderate
2024-01-04 06:19,Hyderabad,Hitech City Rd,Northbound,1,29.5,Moderate
2024-01-24 06:35,Mumbai,Linking Rd,Westbound,1,29.8,Moderate
2024-01-06 09:55,Bangalore,100 Feet Rd,Southbound,4,23.2,High
2024-01-07 14:11,Hyderabad,NH65,Westbound,3,47.7,Low
2024-01-30 06:23,Mumbai,Western Express Hwy,Southbound,2,47.5,Low
2024-01-20 13:51,Mumbai,Linking Rd,Westbound,4,50.7,Low
2024-01-04 21:44,Delhi,NH48,Westbound,3,14.4,High
2024-01-04 04:43,Hyderabad,NH65,Southbound,3,59.3,Low
2024-01-09 03:19,Chennai,ECR,Northbound,2,36.5,Moderate
2024-01-22 09:15,Chennai,Mount Rd,Southbound,3,37.9,Moderate
2024-01-25 02:35,Bangalore,Outer Ring Rd,Westbound,1,29.9,Moderate
2024-01-12 20:20,Chennai,Mount Rd,Westbound,1,19.2,High
2024-01-12 23:36,Hyderabad,NH65,Westbound,4,58.8,Low
2024-01-25 11:53,Hyderabad,Hitech City Rd,Eastbound,2,16.7,High
2024-01-12 02:58,Chennai,Mount Rd,Northbound,4,47.9,Low
2024-01-02 18:01,Hyderabad,NH65,Southbound,4,23.0,High
2024-01-10 23:30,Mumbai,Eastern Freeway,Westbound,4,58.4,Low
2024-01-09 07:58,Bangalore,Outer Ring Rd,Southbound,4,11.0,High
2024-01-06 16:35,Mumbai,Eastern Freeway,Northbound,1,52.6,Low
2024-01-02 01:05,Hyderabad,Hitech City Rd,Westbound,3,41.0,Low
2024-01-12 05:42,Hyderabad,Necklace Rd,Northbound,1,48.1,Low
2024-01-07 05:36,Bangalore,100 Feet Rd,Northbound,2,58.1,Low
2024-01-01 21:04,Hyderabad,Necklace Rd,Eastbound,3,47.1,Low
2024-01-08 11:21,Delhi,Ring Road,Eastbound,2,34.9,Moderate
2024-01-06 17:52,Delhi,Outer Ring Road,Northbound,4,37.1,Moderate
2024-01-25 16:20,Delhi,NH48,Westbound,2,22.8,High
2024-01-08 04:28,Mumbai,Western Express Hwy,Westbound,4,54.8,Low
2024-01-10 16:22,Delhi,NH48,Northbound,1,41.9,Low
2024-01-23 17:26,Mumbai,Western Express Hwy,Eastbound,1,27.3,Moderate
2024-01-16 16:10,Bangalore,Outer Ring Rd,Northbound,1,41.5,Low
2024-01-02 09:47,Bangalore,Outer Ring Rd,Southbound,4,49.6,Low
2024-01-09 20:05,Bangalore,Outer Ring Rd,Eastbound,4,11.2,High
2024-01-04 10:22,Hyderabad,NH65,Southbound,2,16.5,High
2024-01-17 11:46,Mumbai,Western Express Hwy,Southbound,3,23.5,High
2024-01-21 12:46,Chennai,Mount Rd,Eastbound,1,59.1,Low
2024-01-27 05:28,Chennai,ECR,Westbound,1,23.2,High
2024-01-19 03:09,Bangalore,Bellary Rd,Eastbound,4,30.9,Moderate
2024-01-19 17:53,Bangalore,Bellary Rd,Northbound,2,16.5,High
2024-01-11 13:20,Chennai,Mount Rd,Eastbound,3,11.5,High
2024-01-18 01:20,Hyderabad,Necklace Rd,Westbound,4,22.8,High
2024-01-24 05:00,Hyderabad,NH65,Westbound,2,47.6,Low
2024-01-08 01:37,Hyderabad,NH65,Northbound,1,40.1,Low
2024-01-19 08:38,Hyderabad,NH65,Eastbound,4,23.5,High
2024-01-02 02:02,Bangalore,Outer Ring Rd,Southbound,2,58.4,Low
2024-01-07 21:14,Bangalore,100 Feet Rd,Northbound,1,23.8,High
2024-01-15 20:14,Mumbai,Linking Rd,Westbound,3,39.9,Moderate
2024-01-21 17:49,Bangalore,Outer Ring Rd,Westbound,3,39.8,Moderate
2024-01-09 05:51,Bangalore,100 Feet Rd,Northbound,2,35.5,Moderate
2024-01-14 19:04,Mumbai,Linking Rd,Westbound,3,19.5,High
2024-01-24 20:12,Chennai,ECR,Eastbound,4,34.7,Moderate
2024-01-06 12:14,Chennai,Mount Rd,Northbound,3,19.1,High
2024-01-03 10:16,Mumbai,Eastern Freeway,Southbound,1,22.1,High
2024-01-10 08:40,Chennai,Mount Rd,Eastbound,4,26.3,Moderate
2024-01-05 10:33,Bangalore,Bellary Rd,Northbound,3,44.1,Low
2024-01-06 15:15,Mumbai,Western Express Hwy,Southbound,3,49.9,Low
2024-01-17 21:13,Mumbai,Linking Rd,Westbound,4,54.7,Low
2024-01-11 00:19,Delhi,Ring Road,Southbound,1,33.0,Moderate
2024-01-11 15:18,Delhi,NH48,Eastbound,2,45.4,Low
2024-01-08 13:46,Bangalore,Outer Ring Rd,Westbound,4,17.7,High
2024-01-09 06:47,Bangalore,Outer Ring Rd,Westbound,2,15.9,High
2024-01-15 23:34,Mumbai,Linking Rd,Eastbound,4,43.4,Low
2024-01-10 14:19,Hyderabad,Hitech City Rd,Westbound,2,56.5,Low
2024-01-07 10:38,Hyderabad,Hitech City Rd,Northbound,4,14.2,High
2024-01-29 22:34,Delhi,NH48,Westbound,2,11.8,High
2024-01-24 22:49,Mumbai,Eastern Freeway,Southbound,2,45.9,Low
2024-01-09 03:35,Chennai,ECR,Southbound,2,40.6,Low
2024-01-26 10:11,Bangalore,100 Feet Rd,Eastbound,2,14.1,High
2024-01-07 15:41,Bangalore,Outer Ring Rd,Eastbound,1,27.9,Moderate
2024-01-04 03:13,Delhi,Ring Road,Eastbound,1,51.1,Low
2024-01-28 18:30,Bangalore,Outer Ring Rd,Westbound,4,33.8,Moderate
2024-01-17 09:50,Delhi,NH48,Southbound,3,26.7,Moderate
2024-01-03 04:09,Mumbai,Eastern Freeway,Westbound,4,10.4,High
2024-01-14 05:35,Chennai,Mount Rd,Southbound,2,55.5,Low
2024-01-04 18:06,Hyderabad,Hitech City Rd,Westbound,2,54.3,Low
2024-01-10 10:56,Chennai,ECR,Eastbound,1,20.4,High
2024-01-02 07:31,Hyderabad,NH65,Eastbound,1,48.6,Low
2024-01-09 15:31,Bangalore,100 Feet Rd,Northbound,4,34.5,Moderate
2024-01-02 21:47,Hyderabad,Hitech City Rd,Eastbound,2,25.4,Moderate
2024-01-25 10:33,Delhi,Ring Road,Westbound,3,16.0,High
2024-01-06 17:01,Mumbai,Eastern Freeway,Westbound,1,26.3,Moderate
2024-01-12 01:39,Hyderabad,Necklace Rd,Northbound,3,52.0,Low
2024-01-29 13:23,Chennai,ECR,Southbound,4,48.0,Low
2024-01-11 04:58,Chennai,OMR,Northbound,4,36.4,Moderate
2024-01-07 09:48,Bangalore,100 Feet Rd,Southbound,1,16.7,High
2024-01-24 18:23,Bangalore,100 Feet Rd,Southbound,4,16.1,High
2024-01-05 02:55,Chennai,Mount Rd,Southbound,3,45.6,Low
2024-01-24 09:51,Hyderabad,Hitech City Rd,Eastbound,1,15.8,High
2024-01-05 15:00,Delhi,Outer Ring Road,Northbound,4,49.2,Low
2024-01-28 12:49,Hyderabad,NH65,Northbound,3,40.1,Low
2024-01-04 20:42,Hyderabad,NH65,Eastbound,3,24.4,High
2024-01-11 03:44,Chennai,Mount Rd,Northbound,3,43.5,Low
2024-01-02 21:44,Chennai,Mount Rd,Eastbound,4,46.3,Low
2024-01-13 17:48,Delhi,Ring Road,Westbound,2,20.2,High
2024-01-08 16:03,Hyderabad,NH65,Eastbound,4,51.7,Low
2024-01-29 13:12,Chennai,ECR,Southbound,2,38.9,Moderate
2024-01-05 05:59,Bangalore,100 Feet Rd,Northbound,3,56.2,Low
2024-01-07 10:10,Bangalore,Outer Ring Rd,Westbound,1,48.9,Low
2024-01-14 12:18,Hyderabad,Necklace Rd,Northbound,2,33.1,Moderate
2024-01-28 18:05,Bangalore,Outer Ring Rd,Southbound,2,23.5,High
2024-01-17 02:11,Chennai,ECR,Southbound,4,38.5,Moderate
2024-01-25 21:27,Mumbai,Eastern Freeway,Westbound,1,49.4,Low
2024-01-21 16:33,Hyderabad,NH65,Southbound,4,38.2,Moderate
2024-01-28 14:34,Chennai,OMR,Northbound,1,22.3,High
2024-01-17 08:30,Hyderabad,Hitech City Rd,Eastbound,3,13.0,High
2024-01-01 11:35,Bangalore,100 Feet Rd,Southbound,4,32.9,Moderate
2024-01-11 22:08,Chennai,Mount Rd,Northbound,1,36.0,Moderate
2024-01-09 12:48,Chennai,ECR,Northbound,4,51.7,Low
2024-01-13 15:23,Mumbai,Western Express Hwy,Southbound,2,44.9,Low
